measure,location,sex,age,metric,year,val,upper,lower
HALE (Healthy life expectancy),Thailand,Both,All ages,Years,2019,68.39966136153514,71.90533229938333,64.6213669857533
HALE (Healthy life expectancy),Timor-Leste,Both,All ages,Years,2019,61.65000229747457,64.41598802259007,58.71408306547686
HALE (Healthy life expectancy),Viet Nam,Both,All ages,Years,2019,65.74153021339914,68.43193405315871,62.867163585669616
HALE (Healthy life expectancy),Taiwan (Province of China),Both,All ages,Years,2019,70.68149167832719,73.96046612118286,67.22684657321321
HALE (Healthy life expectancy),Cambodia,Both,All ages,Years,2019,61.203714915761864,63.925480971774405,58.26229653897737
HALE (Healthy life expectancy),Malaysia,Both,All ages,Years,2019,65.65126077091776,68.7230462239987,62.443988589641215
HALE (Healthy life expectancy),Maldives,Both,All ages,Years,2019,69.11454312202315,71.83934375834332,66.09115141700192
HALE (Healthy life expectancy),Myanmar,Both,All ages,Years,2019,60.852021666179226,63.76102024862771,57.73215784033961
HALE (Healthy life expectancy),Sudan,Both,All ages,Years,2019,61.42277361621272,64.32891476174325,58.16960721453511
HALE (Healthy life expectancy),China,Both,All ages,Years,2019,68.52609956997293,70.97246045329348,65.87533050841874
HALE (Healthy life expectancy),Democratic People's Republic of Korea,Both,All ages,Years,2019,64.97113850415037,67.56136344638354,62.110884780831796
HALE (Healthy life expectancy),Kiribati,Both,All ages,Years,2019,53.53697899353426,56.4186875127764,50.58142462192443
HALE (Healthy life expectancy),Marshall Islands,Both,All ages,Years,2019,57.38209344735907,60.71064621104845,53.84390114236183
HALE (Healthy life expectancy),Fiji,Both,All ages,Years,2019,59.6592615212495,62.86278941231373,56.265684725392816
HALE (Healthy life expectancy),Mongolia,Both,All ages,Years,2019,60.436463237417286,63.670335449468176,57.055887187595
HALE (Healthy life expectancy),Tajikistan,Both,All ages,Years,2019,61.84424319554634,64.49728621448986,59.03546022068064
HALE (Healthy life expectancy),Indonesia,Both,All ages,Years,2019,62.55071236977466,65.03007960280914,59.85095328706566
HALE (Healthy life expectancy),Lao People's Democratic Republic,Both,All ages,Years,2019,60.707280152520106,63.71287933016725,57.65620707941717
HALE (Healthy life expectancy),Solomon Islands,Both,All ages,Years,2019,52.728833135446294,55.491790027242224,49.9627969970893
HALE (Healthy life expectancy),Tonga,Both,All ages,Years,2019,63.90580207211933,66.90415394458145,60.570213675663396
HALE (Healthy life expectancy),Philippines,Both,All ages,Years,2019,62.726161845926704,65.44600476224286,59.75978713593978
HALE (Healthy life expectancy),Sri Lanka,Both,All ages,Years,2019,66.94584151199012,70.31868886421275,63.321807859408516
HALE (Healthy life expectancy),Armenia,Both,All ages,Years,2019,66.63735693490439,69.2138848112941,63.91120441510529
HALE (Healthy life expectancy),Azerbaijan,Both,All ages,Years,2019,63.011013072893775,65.59807408746974,60.25947652849884
HALE (Healthy life expectancy),Micronesia (Federated States of),Both,All ages,Years,2019,56.67589603062053,59.608837244011,53.68364159785072
HALE (Healthy life expectancy),Papua New Guinea,Both,All ages,Years,2019,56.35802735028224,60.084442222066755,52.579022198158
HALE (Healthy life expectancy),Samoa,Both,All ages,Years,2019,61.82083129320428,64.86266939571249,58.49029301866554
HALE (Healthy life expectancy),Albania,Both,All ages,Years,2019,68.85948306607341,72.0710502526779,65.43135438088903
HALE (Healthy life expectancy),Turkmenistan,Both,All ages,Years,2019,62.871741645972854,65.92365687122826,59.6909681128172
HALE (Healthy life expectancy),Uzbekistan,Both,All ages,Years,2019,60.87907774460698,63.25283280162709,58.289743224508626
HALE (Healthy life expectancy),Estonia,Both,All ages,Years,2019,68.12885958602065,71.37368595985501,64.68893114621635
HALE (Healthy life expectancy),Latvia,Both,All ages,Years,2019,66.31651245914989,69.23853770587827,63.203486502558725
HALE (Healthy life expectancy),Vanuatu,Both,All ages,Years,2019,57.59862152042588,60.777866043663,54.238497585432405
HALE (Healthy life expectancy),Hungary,Both,All ages,Years,2019,66.78985997103389,69.86149040559708,63.580519507115575
