variable,country,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
General Government Expenditure,Australia,36.85229163,37.38836861,37.37420777,36.87278979,36.99091744,39.05385745,44.62995813,42.18915697,38.43102465,39.01213764
General Government Expenditure,Austria,52.32488089,51.02715229,50.07131589,49.29889216,48.75764412,48.608589,56.74104109,55.95528051,52.38733162,52.41742562
General Government Expenditure,Belgium,55.59977072,53.71958858,53.11766279,52.03028873,52.2650967,51.85511183,58.90154102,55.49226377,53.67012287,55.95971762
General Government Expenditure,Canada,38.3704831,40.01841803,40.7532331,40.45540565,40.6623503,40.58964463,52.70973503,45.85602271,41.47592975,41.14313091
General Government Expenditure,Croatia,48.60094676,47.48731741,46.44313452,44.69405065,45.49237464,46.06187825,53.98208162,48.53886064,45.68617042,47.49933956
General Government Expenditure,Cyprus,40.3156245,39.34651887,37.29909118,36.35285024,42.56727766,38.09873102,44.62982416,43.07542425,39.85939426,39.14124912
General Government Expenditure,Czechia,42.62206018,41.93412949,39.75102113,38.98008567,40.59462246,41.0539035,47.21877988,46.5136951,44.84192029,46.16736883
General Government Expenditure,Denmark,55.21771281,54.52764644,52.47861642,50.54953123,50.54832547,49.66777804,53.53609419,50.80379702,49.18897834,49.38888672
General Government Expenditure,Estonia,37.76443107,39.52476253,39.3973671,39.23615496,39.27284142,39.38810138,44.83163651,41.28043576,40.18582299,43.21514356
General Government Expenditure,Finland,57.27390924,56.48981716,55.64688899,53.63255134,53.38042165,53.33822512,57.14717818,55.69846046,54.04972648,54.59932059
General Government Expenditure,France,57.21360242,56.79757209,56.68584938,56.50345066,55.64455047,55.35180616,61.5124432,59.07981478,58.46818778,58.06125689
General Government Expenditure,Germany,44.30302347,44.14109537,44.35372631,44.17515518,44.32099719,44.99078675,50.40817166,51.25283543,49.70398624,50.65577667
General Government Expenditure,Greece,50.7306642,51.1614853,49.94059316,48.49634437,48.49575068,47.74558088,59.69166591,57.44764002,55.52913325,50.31920349
General Government Expenditure,"Hong Kong SAR, China",17.25284562,18.03491418,18.25146536,17.36105449,18.39286622,20.9505899,29.90727489,23.70855115,28.08264651,24.96314323
General Government Expenditure,Iceland,45.82737399,43.47365123,46.43726095,44.40931899,43.84832788,43.60872891,51.17507293,49.76130242,46.09156291,44.79849896
General Government Expenditure,Ireland,37.58105441,29.05846921,28.082426,26.15576818,25.34731853,24.25261771,27.34513298,24.822524,22.11122066,20.99663557
General Government Expenditure,Israel,38.28994711,37.46038606,37.71818727,38.3041888,39.07362408,38.47468711,44.73538359,40.24642644,36.87798616,36.40077428
General Government Expenditure,Italy,50.85547184,50.31712231,49.07839251,48.76335445,48.39388932,48.47159822,56.99275144,57.31519582,56.82504231,53.72911843
General Government Expenditure,Japan,38.38896277,37.29522609,37.22927611,36.68607941,36.73870673,37.2936969,44.56266797,42.7572535,44.01227282,42.0710511
General Government Expenditure,Korea,19.75758336,19.73811661,19.4875905,19.63786858,20.38291691,22.55097056,25.09534833,25.84466162,27.89900268,25.35034304
General Government Expenditure,Latvia,37.79760865,37.39256931,36.12523558,36.48830066,38.06749261,37.58679002,41.13611469,42.87469697,39.24618107,41.49925159
General Government Expenditure,Lithuania,34.01519356,34.39887323,33.29810568,32.40184217,33.15178226,33.77368212,41.95300335,37.2534221,36.59084524,39.81744915
General Government Expenditure,Luxembourg,40.61256427,40.36594979,40.04484949,41.27738753,42.2995865,43.12921311,46.7315505,42.88843903,43.32817528,46.25776713
General Government Expenditure,Malta,39.93210913,38.20056799,36.3727608,34.45286793,35.81615219,35.70755893,45.66313689,43.61108445,40.91488742,40.42254294
General Government Expenditure,Netherlands,45.26981952,44.04021403,42.85304876,41.66696019,41.47873285,41.34898623,47.00613913,45.81435758,44.55899989,44.97358348
General Government Expenditure,New Zealand,37.68616756,37.2503825,36.45388901,35.63498965,36.10301215,38.83383419,42.13478627,41.89548251,43.16966752,42.79669515
